tipo,nome,repositorio,kingdom,tag,url
ocorrencias,Museu Paraense Emílio Goeldi - Schizomida Collection,mpeg,Animalia,museuparaenseemiliogoeldi-collection-aracnologiaschizomida,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emílio Goeldi - Solifugae Collection,mpeg,Animalia,museuparaenseemiliogoeldi-collection-aracnologiasolifugae,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emilio Goeldi - Ornithology Collection - Nests,mpeg,Animalia,museu_paraense_emilio_goeldi-ornithology_collection_nests,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Museu Paraense Emilio Goeldi - Ornithology Collection - Skin,mpeg,Animalia,museu_paraense_emilio_goeldi_ornithology_collection-skin,https://ipt.sibbr.gov.br/goeldi/
ocorrencias,Arachnida e Myriapoda Museu Nacional (MNRJ ARAC),mnrj,Animalia,mnrj_arachnidakury,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Arachnida_ordens_menores_do_Museu_Nacional_(MNRJ_ARAC_MINOR),mnrj,Animalia,arachnida_ordens_menores_do_museu_nacional,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Arachnida_Opiliones_do_Museu_Nacional_(MNRJ_ARAC_OPIL),mnrj,Animalia,arachnida_opiliones_do_museu_nacional,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Anfíbios do Museu Nacional (MNRJ),mnrj,Animalia,mnrj_amphibia,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Ascidiacea do Museu Nacional - UFRJ,mnrj,Animalia,ascidiacea_mn_ufrj,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Aves do Museu Nacional / UFRJ,mnrj,Animalia,mnrj_ornitologia,https://ipt.sibbr.gov.br/mnrj/
ocorrencias,Coleção de Brachiopoda do Museu Nacional - UFRJ,mnrj,Animalia,brachiopoda_mn_ufrj,https://ipt.sibbr.gov.br/mnrj/
